subject_id,basc064,basc122,basc197,craddock_scorr_mean,harvard_oxford_cort_prob_2mm,motions,msdl,power_2011
18281983803382534746,./data/fmri/basc064/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv,./data/fmri/basc122/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv,./data/fmri/basc197/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv,./data/fmri/motions/18281983803382534746/run_1/motions.txt,./data/fmri/msdl/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv,./data/fmri/power_2011/18281983803382534746/run_1/18281983803382534746_task-Rest_confounds.csv
2691647632292406329,./data/fmri/basc064/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv,./data/fmri/basc122/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv,./data/fmri/basc197/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv,./data/fmri/motions/2691647632292406329/run_1/motions.txt,./data/fmri/msdl/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv,./data/fmri/power_2011/2691647632292406329/run_1/2691647632292406329_task-Rest_confounds.csv
17312169635100022894,./data/fmri/basc064/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv,./data/fmri/basc122/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv,./data/fmri/basc197/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv,./data/fmri/motions/17312169635100022894/run_1/motions.txt,./data/fmri/msdl/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv,./data/fmri/power_2011/17312169635100022894/run_1/17312169635100022894_task-Rest_confounds.csv
15941928780885363153,./data/fmri/basc064/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv,./data/fmri/basc122/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv,./data/fmri/basc197/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv,./data/fmri/motions/15941928780885363153/run_1/motions.txt,./data/fmri/msdl/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv,./data/fmri/power_2011/15941928780885363153/run_1/15941928780885363153_task-Rest_confounds.csv
9213981989782687082,./data/fmri/basc064/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv,./data/fmri/basc122/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv,./data/fmri/basc197/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv,./data/fmri/motions/9213981989782687082/run_1/motions.txt,./data/fmri/msdl/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv,./data/fmri/power_2011/9213981989782687082/run_1/9213981989782687082_task-Rest_confounds.csv
3337178800523935862,./data/fmri/basc064/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv,./data/fmri/basc122/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv,./data/fmri/basc197/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv,./data/fmri/motions/3337178800523935862/run_1/motions.txt,./data/fmri/msdl/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv,./data/fmri/power_2011/3337178800523935862/run_1/3337178800523935862_task-Rest_confounds.csv
2227370521963332264,./data/fmri/basc064/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv,./data/fmri/basc122/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv,./data/fmri/basc197/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv,./data/fmri/motions/2227370521963332264/run_1/motions.txt,./data/fmri/msdl/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv,./data/fmri/power_2011/2227370521963332264/run_1/2227370521963332264_task-Rest_confounds.csv
5684605679388724953,./data/fmri/basc064/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv,./data/fmri/basc122/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv,./data/fmri/basc197/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv,./data/fmri/motions/5684605679388724953/run_1/motions.txt,./data/fmri/msdl/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv,./data/fmri/power_2011/5684605679388724953/run_1/5684605679388724953_task-Rest_confounds.csv
8486188441605162812,./data/fmri/basc064/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv,./data/fmri/basc122/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv,./data/fmri/basc197/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv,./data/fmri/motions/8486188441605162812/run_1/motions.txt,./data/fmri/msdl/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv,./data/fmri/power_2011/8486188441605162812/run_1/8486188441605162812_task-Rest_confounds.csv
372219183039998899,./data/fmri/basc064/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv,./data/fmri/basc122/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv,./data/fmri/basc197/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv,./data/fmri/craddock_scorr_mean/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv,./data/fmri/harvard_oxford_cort_prob_2mm/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv,./data/fmri/motions/372219183039998899/run_1/motions.txt,./data/fmri/msdl/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv,./data/fmri/power_2011/372219183039998899/run_1/372219183039998899_task-Rest_confounds.csv
