subject_id,repetition_time
5181409268393785348,2.0
8797865049371315550,2.5
6486385878325245147,2.0
17126438435398394588,2.0
16638049522113999228,2.0
11338998855918763,2.0
7808973240493555703,2.0
16293485569559664059,2.0
14383505943327373487,1.6664900000000002
15533938102961737789,1.66632
17598599470795790973,2.0
6204830900434343911,2.7
16896648939360734983,2.5
15156789682402724878,2.0
17843303996820128544,2.5
2263593867905829219,1.0
11723007971726512929,2.5
18437859856385194816,2.0
7223236323395509661,2.0
3369213453014636420,2.0
1711749423820760510,2.0
13099691578576846101,3.0
10631804530197433027,2.0
1932355398536124106,2.5
5174041730092253771,3.0
10219322676643534800,3.0
10645466564919190227,2.5
14512541342641936232,1.0
7424332414628877016,3.0
4084002381481689753,2.5
3573738674348564622,2.5
14016759976745635145,1.5
7497336720738382888,2.0
13381056719830046628,2.0
6941346962720199636,2.5
7466150067722601755,3.0
710332206452811913,3.0
13404470288245579984,3.0
15192653114671416593,3.0
9915556264164993913,2.0
7193465023915093220,0.813
17695577094121488716,2.0
8601892304489994370,2.5
14963134795288486944,2.0
9207712590418396743,2.0
17311673854362828456,2.0
4379505609203128367,2.5
3505894093389199460,2.0
14977817875568556591,2.0
3827987384695963556,2.0
15364248248783799099,2.0
17469302153520254702,3.0
14066106109371167731,1.5
2982121349972811953,1.5
18063639539130779536,1.5
9900124300111423170,3.0
15527716545296994338,2.0
3184866547834896309,2.0
16646973146424831288,2.5
1189696158181009297,3.0
5794780923039676232,2.0
12021101294481477462,3.0
6694482211121983800,2.5
15469730098671991405,2.0
17767431205564224860,3.0
12053739195619749554,2.0
11993593859811700647,2.0
1466811726833680904,2.0
5029963332431745146,1.6667599999999998
455827997814293933,3.0
7242051816205579692,1.5
712520538022056786,2.0
13396705134303608036,3.0
16619254113396913552,2.0
15688108430408029034,2.0
1859391152352587238,2.0
12261741850773416433,2.0
12480415542320603941,2.0
15260766170783415029,3.0
6561612642153367159,1.0
13604824462064039449,3.0
12439394516663437200,2.0
17644900846110202576,2.0
6267682469576537535,2.0
6370319003065953838,2.0
2109922784831529777,2.0
11306563944409717118,2.0
4371497889900956059,2.5
15632143337475166470,2.5
1334586378303275412,1.65152
10837064816367727325,1.0
9067662399611330807,1.0
4968036937982205901,2.0
2369282181808404088,3.0
3222058787737503720,3.0
2414547993821364730,3.0
1882738856315417770,2.0
15608025842498069159,1.0
8773023546385298217,2.5
11797633361192289220,2.5
13539783587562981160,1.5
12702196004164046107,2.5
3621991204108589830,2.0
17520830259575136382,2.5
6395171304176082067,2.0
8215795869436819873,3.0
1980606409004075438,1.0
3704565659783365872,2.5
6793222155716860066,3.0
4637383016146861464,2.0
2693603107819512949,1.6668
14720029994731556396,2.5
5529372316938212993,0.813
9390779105161950724,2.0
10415768232462484879,2.0
17264664015822666957,2.0
11423075398546923195,2.0
16395241182713282239,0.813
6010266638732097202,3.0
9393712594539961936,2.0
16094824667438833662,2.0
12053401612515916048,2.5
7180174020563566958,2.5
14966565796905119418,2.0
7284658077438998645,1.5
9549220942075223164,2.0
17241221489974852113,1.66616
4348677596815998991,2.0
9324848415768224920,1.5
9203841576719287174,2.5
7297788469305231338,2.0
3364020328875844778,1.5
8696883869930781569,2.0
10371343641078012541,2.5
863539184712500671,2.5
15184638385522838832,0.813
8945703093962660744,2.0
9142942385768211283,2.5
5223586935043372260,1.6510200000000002
9677939963554296378,2.0
10355606907404320986,2.5
11819802855660000703,2.0
1202716107065832125,2.5
2336251797641548628,3.0
1481422034939942578,3.0
1744519555854734907,2.5
2394186925037064538,2.0
13074387659537598346,2.0
1379164457984074514,3.0
6962649006254922741,2.0
12624005009203552541,2.0
11250732751596491772,2.5
8023973518455906882,2.0
4160044592169746156,2.5
11934046218515133155,2.0
6376551443264196245,2.5
12896556828270347268,2.0
1773332121342057432,2.0
7236896185856005487,2.0
14899377696487833990,2.0
1088963203025926792,2.0
10751738218159205922,2.5
8682347016353213274,2.0
15631503550600403718,2.0
3961216805532032575,2.5
3516669958732359420,2.0
6280661322169609371,2.0
16460552096872721021,2.0
15153758654927608710,2.0
6419879768379329576,1.5
15783213536717762490,2.0
10999653377826445863,2.0
16344266295855811161,2.5
2167379964152488645,2.7
2114814162650213434,2.0
741171891020402593,2.5
10850954797295559203,2.5
4307499562891275239,2.0
6145842518691768371,2.5
13596087962729085415,2.0
13598463158021827504,2.5
1914812640147432297,3.0
16568104772541006935,2.0
15781124530333779226,3.0
16533095516129264415,2.0
4014833456671053006,3.0
9153298504548778957,2.0
4370792535830717457,2.0
13460923944027338033,2.0
12454922043124104719,2.0
18146476245136364756,2.0
6058775108472220426,3.0
5999302237839232888,2.0
15677303501404370653,2.0
11298146104575054853,2.0
14702476425097003925,2.0
6090835997529942594,2.5
14341198040678484016,2.5
14274245625610790172,2.0
2075464946598651150,2.5
256198919086927427,1.5
13707365586629516949,1.5
5321826171820027980,2.0
12369879144641077992,2.0
12924025599802062128,1.5
8313142558970467479,2.5
2279061886510106908,1.6658400000000002
5997191568906142936,3.0
8440136552863560742,2.2
6421633396373790182,3.0
5136280426951295269,2.5
9870257559303432777,2.0
15941928780885363153,1.5
8773529043399963608,3.0
4689362523556545016,3.0
1163875908328696281,2.0
15680715926403849325,2.0
10969268826835971904,2.5
3603113671771683597,2.5
2283717901493014116,2.5
14664825938006475960,2.0
757341298860414893,2.5
365629336453812560,3.0
14707481906077415431,1.5
9677663032899144307,1.66553
15538060260354439689,2.0
1116857503192028252,2.5
10487291684804455262,2.5
9560747364768383888,2.0
11439418614778211922,2.0
14307032419968243801,2.0
17501320691287082011,1.0
1563109039696102034,2.0
8147590043365159471,3.0
12022383940409300677,2.5
6824280859585535178,2.5
426449879371321663,3.0
1144260026452912469,2.5
9631126517716256973,2.0
13366203996253482977,2.0
6915251651395264326,2.0
2233334184451076125,2.0
3671991478170505756,2.0
5431062140988025161,2.5
10099936579161184393,2.0
8093086263759882494,2.2
11997626127545867423,2.0
8769209046080908750,2.5
3089431205773012626,3.0
4206732089161139412,2.5
1807941278723433237,2.0
9748569960048445,3.0
15413333890919912073,1.5
7408981410450172238,2.0
4294894720990168430,3.0
16666159496972005109,1.5
18104779687429693616,1.66606
17771230100805018657,2.0
9806289984924172357,2.0
6317812206335483098,2.5
11279663522595593464,2.0
9137699730772697073,2.5
12305871541711473974,2.0
10894254169765500855,2.5
11037545252055351772,2.5
7916530588718024841,2.7
13073035520285569870,2.0
11465886302538632874,2.0
13499596453316929822,1.66989
17312169635100022894,1.5
2227370521963332264,1.5
805048801547934547,2.5
1274194040684564043,2.0
9134754846138994916,2.5
1857579708700933169,2.0
14215559514914982154,2.5
17712825462775490123,2.0
15195024714854490904,2.0
6188401785713441824,2.0
14267405193199597966,2.0
15177030685174822553,2.0
10130486593752564404,2.5
7349257507387686120,3.0
1436546773455146619,2.0
15583608138642061206,2.5
7248092980559877080,2.0
14197848063624617989,2.0
3460987127454898743,1.5
14908751833716001101,2.5
709437793726247683,1.5
9418420251279473503,1.0
131065908653224685,1.5
14595553645552536240,2.5
9522989434472289301,2.0
14991584324203407320,1.0
2850594468700593089,3.0
15799254567528600989,2.0
11355700117245476472,2.0
17434771209086744799,2.5
6300603056479498876,2.0
17621936959806267722,3.0
1176023215155805810,2.0
13943730779654449528,2.0
14481915591461293022,2.7
4357780627514484739,2.0
15290803926421235144,1.65166
10161770777745132926,2.0
3317279857002955845,2.0
14332112920777842174,2.0
10479245965332784569,2.5
17508556348529558294,2.0
2992751544752371711,2.0
14931995825220742252,1.65153
14273650653022500214,2.0
1183723458906492545,1.5
13412900432960043095,2.5
14026224711185706377,2.0
10021451277603445196,2.5
10635394287048248528,1.66609
10533814209676998102,2.0
17353302079621853523,2.0
2399646234768175156,0.813
4425198707776324792,2.0
1880705316063214854,3.0
16392617381180084180,2.0
15500069168749300965,2.0
17780124200719840520,2.0
13131114100940646779,1.0
15062414865859585534,2.5
14605425250157380711,2.0
13197686826974629308,3.0
4836884284041235506,3.0
14768818700950083958,2.0
18371117375609989077,2.5
9301968646917127303,2.0
18004391873414729465,2.0
13087471779524657806,3.0
13020145920443495987,3.0
5555106242009096880,3.0
6218057704107922313,2.5
10113282614799567249,2.0
2456139843625144231,2.5
554015374340136705,2.7
7141787984540246693,2.5
16031952631757658521,2.0
5724612581354152724,2.0
